Vacant −− > Census year: 2018 || Block ID: 82 || Property ID: 105460 || Base property ID: 105460 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.954926 || Y coordinate: -37.812771 || Location: (-37.81276886, 144.9549226) || 
Vacant −− > Census year: 2018 || Block ID: 82 || Property ID: 105460 || Base property ID: 105460 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.954926 || Y coordinate: -37.812771 || Location: (-37.81276886, 144.9549226) || 
Vacant −− > Census year: 2018 || Block ID: 1 || Property ID: 108843 || Base property ID: 108843 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.957535 || Y coordinate: -37.821110 || Location: (-37.82111358, 144.9575337) || 
Vacant −− > Census year: 2018 || Block ID: 1 || Property ID: 108843 || Base property ID: 108843 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.957535 || Y coordinate: -37.821110 || Location: (-37.82111358, 144.9575337) || 
Vacant −− > Census year: 2018 || Block ID: 1 || Property ID: 108843 || Base property ID: 108843 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.957535 || Y coordinate: -37.821110 || Location: (-37.82111358, 144.9575337) || 
Vacant −− > Census year: 2018 || Block ID: 1 || Property ID: 108843 || Base property ID: 108843 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.957535 || Y coordinate: -37.821110 || Location: (-37.82111358, 144.9575337) || 
Vacant −− > Census year: 2018 || Block ID: 1 || Property ID: 108843 || Base property ID: 108843 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.957535 || Y coordinate: -37.821110 || Location: (-37.82111358, 144.9575337) || 
Vacant −− > Census year: 2018 || Block ID: 1 || Property ID: 108843 || Base property ID: 108843 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.957535 || Y coordinate: -37.821110 || Location: (-37.82111358, 144.9575337) || 
Vacant −− > Census year: 2018 || Block ID: 1 || Property ID: 108843 || Base property ID: 108843 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.957535 || Y coordinate: -37.821110 || Location: (-37.82111358, 144.9575337) || 
Vacant −− > Census year: 2018 || Block ID: 1 || Property ID: 108843 || Base property ID: 108843 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.957535 || Y coordinate: -37.821110 || Location: (-37.82111358, 144.9575337) || 
Vacant −− > Census year: 2018 || Block ID: 26 || Property ID: 109418 || Base property ID: 109418 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.967422 || Y coordinate: -37.815842 || Location: (-37.81583755, 144.9674252) || 
Vacant −− > Census year: 2018 || Block ID: 74 || Property ID: 108094 || Base property ID: 108094 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.959824 || Y coordinate: -37.812080 || Location: (-37.81207875, 144.959821) || 
Vacant −− > Census year: 2018 || Block ID: 16 || Property ID: 104018 || Base property ID: 104018 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.968536 || Y coordinate: -37.816601 || Location: (-37.81660267, 144.9685353) || 
